Date,Sub Category,Plant,Vendor,Defect Type,Material Type,Defect,Downtime min,Defect Qty
12/31/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,60,0
12/30/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,70,0
12/30/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,15,0
12/29/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,15,0
12/17/2014 0:00,Logistics,Cincinnati OH,Plustax,Rejected,Batteries,Tubs Stuck,0,0
12/10/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,20,0
12/3/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,45,0
11/26/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,30,0
11/20/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Tubs Stuck,10,0
12/25/2014 0:00,Logistics,"Madison, WI",Plustax,Impact,Batteries,Tubs Stuck,0,2
12/8/2014 0:00,Logistics,"Madison, WI",Plustax,Rejected,Batteries,Tubs Stuck,0,1
12/2/2014 0:00,Logistics,"Madison, WI",Plustax,Rejected,Batteries,Tubs Stuck,0,0
12/15/2014 0:00,Logistics,"Bangor, MI",Plustax,Impact,Batteries,Tubs Stuck,60,116
12/25/2014 0:00,Logistics,"Davenport, IA",Reddoit,Rejected,Corrugate,Gap Variation,0,1748
12/3/2014 0:00,Packaging,"Northbrook, IL",xx-way,Impact,Corrugate,Gap Variation,25,5607
11/30/2014 0:00,Packaging,"Northbrook, IL",xx-way,No Impact,Corrugate,Gap Variation,0,0
11/19/2014 0:00,Goods & Services,"Monon, IN",Sanlab,Rejected,Corrugate,Gap Variation,30,0
12/21/2014 0:00,Logistics,Cincinnati OH,Reddoit,Impact,Corrugate,Weak Walls,35,41
11/25/2014 0:00,Logistics,Cincinnati OH,Reddoit,Impact,Corrugate,Weak Walls,40,45
12/25/2014 0:00,Logistics,Cincinnati OH,Damdexon,Impact,Corrugate,Weak Walls,60,178
11/25/2014 0:00,Logistics,Cincinnati OH,Damdexon,Impact,Corrugate,Weak Walls,120,89
12/21/2014 0:00,Logistics,"Milwaukee, Wi",Reddoit,No Impact,Corrugate,Warping,0,1
12/21/2014 0:00,Logistics,"Milwaukee, Wi",Reddoit,Rejected,Corrugate,Warping,0,1
12/11/2014 0:00,Logistics,"Milwaukee, Wi",Reddoit,No Impact,Corrugate,Warping,0,1
12/31/2014 0:00,Goods & Services,"Monon, IN",Sanlab,Rejected,Corrugate,Warping,30,623
12/30/2014 0:00,Logistics,"Bangor, MI",Sanlab,Impact,Corrugate,Warping,60,12460
11/26/2014 0:00,Logistics,"Bangor, MI",Sanlab,Impact,Corrugate,Warping,180,1847
12/24/2014 0:00,Logistics,Cincinnati OH,Damdexon,Impact,Corrugate,Delamination,60,67
12/31/2014 0:00,Goods & Services,"Monon, IN",Sanlab,Rejected,Carton,Delamination,70,570
12/2/2014 0:00,Goods & Services,"Monon, IN",Sanlab,Rejected,Corrugate,Delamination,0,1246
12/14/2014 0:00,Logistics,"Davenport, IA",Plustax,Rejected,Batteries,Bad Print,0,27
12/15/2014 0:00,Logistics,"Davenport, IA",Plustax,No Impact,Batteries,Foreign objects found,0,0
12/10/2014 0:00,Logistics,"Madison, WI",Plustax,Rejected,Batteries,Foreign objects found,0,0
12/24/2014 0:00,Logistics,"Davenport, IA",Plustax,No Impact,Controllers,Foreign objects found,0,0
12/2/2014 0:00,Logistics,"Madison, WI",Plustax,Rejected,Controllers,Foreign objects found,0,0
11/26/2014 0:00,Logistics,"Bangor, MI",Plustax,Rejected,Controllers,Foreign objects found,0,361
12/16/2014 0:00,Mechanicals,"Indianapolis, IN",Subdrill,Rejected,Controllers,Foreign objects found,0,1
12/1/2014 0:00,Mechanicals,"Indianapolis, IN",Subdrill,Rejected,Controllers,Foreign objects found,0,1424
12/9/2014 0:00,Logistics,"Bangor, MI",Sanin,Rejected,Controllers,Foreign objects found,10,534
12/1/2014 0:00,Logistics,"Bangor, MI",Sanin,Rejected,Controllers,Foreign objects found,0,534
11/25/2014 0:00,Logistics,"Bangor, MI",Sanin,Impact,Batteries,Foreign objects found,30,1
11/25/2014 0:00,Logistics,"Bangor, MI",D-zohex,Impact,Controllers,Foreign objects found,960,63
12/25/2014 0:00,Electrical,"Grand Rapids, MI",Reddoit,Rejected,Corrugate,Skewed,0,641
12/15/2014 0:00,Materials & Components,"Chicago, IL",Reddoit,No Impact,Corrugate,Skewed,0,499
12/31/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Controllers,Warped,60,1
12/25/2014 0:00,Logistics,"Madison, WI",Plustax,Impact,Controllers,Warped,27,6
12/21/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Controllers,Warped,60,67
12/2/2014 0:00,Logistics,"Madison, WI",Plustax,Rejected,Controllers,Warped,0,0
12/22/2014 0:00,Packaging,"Northbrook, IL",xx-way,Impact,Corrugate,Print defects,5,53
11/30/2014 0:00,Packaging,"Northbrook, IL",xx-way,Impact,Corrugate,Print defects,120,534
12/10/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Controllers,Misc,60,0
12/31/2014 0:00,Mechanicals,"Indianapolis, IN",Quotelane,Rejected,Film,Misc,75,1
11/30/2014 0:00,Packaging,"Northbrook, IL",xx-way,Impact,Corrugate,Misc,20,89
11/27/2014 0:00,Mechanicals,"Indianapolis, IN",Subdrill,No Impact,Controllers,Misc,0,168032
11/30/2014 0:00,Mechanicals,"Gary, IN",Recode,Impact,Composites,Misc,30,32107
12/1/2014 0:00,Goods & Services,"Monon, IN",Villacom,Rejected,Raw Materials,Misc,0,606
11/25/2014 0:00,Goods & Services,"Monon, IN",Fax-ex,Rejected,Raw Materials,Misc,0,606
11/24/2014 0:00,Goods & Services,"Monon, IN",Fax-ex,Rejected,Raw Materials,Misc,0,405
11/24/2014 0:00,Goods & Services,"Monon, IN",Fax-ex,Rejected,Raw Materials,Misc,0,647
12/11/2014 0:00,Logistics,Cincinnati OH,Sanin,Impact,Batteries,Misc,60,24
12/14/2014 0:00,Packaging,"Detriot, MI",Vaiazozice,Rejected,Pump,Misc,30,42720
11/19/2014 0:00,Logistics,"Madison, WI",Blueit,Rejected,Carton,Misc,0,1202
12/8/2014 0:00,Mechanicals,"Gary, IN",Ozeris,No Impact,Raw Materials,Misc,0,2225
12/8/2014 0:00,Mechanicals,"Gary, IN",Ozeris,No Impact,Raw Materials,Misc,0,19580
